#,Location,Governorate,Latitude,Longitude,Notes
48,Qantara Sharq,Ismailia,30.85,32.31667,
49,Suez (City Center),Suez,29.96667,32.54972,
50,Ataka,Suez,29.91667,32.46667,
51,Ain Sokhna,Suez,29.68333,32.35,
52,Arish (City Center),North Sinai,31.13333,33.80333,
53,Sheikh Zuweid,North Sinai,31.21667,34.11667,
54,Rafah,North Sinai,31.28333,34.25,
55,Bir al-Abd,North Sinai,31.01667,33.11667,
56,Wadi El Natrun,Beheira,30.35,30.33333,
57,Baltim,Kafr El Sheikh,31.56194,31.08194,
58,Rosetta (Rashid),Beheira,31.40444,30.41639,
59,Marsa Matrouh (City Center),Matrouh,31.35,27.23333,
60,El Alamein,Matrouh,30.83,28.955,
61,Fayoum (City Center),Fayoum,29.30833,30.84167,
62,Itsa,Fayoum,29.4,30.85,
63,Beni Suef (City Center),Beni Suef,29.06667,31.08333,
64,Al Wasta,Beni Suef,29.33333,31.2,
65,Nasr City (Center),Beni Suef,29.16667,31.13333,
66,Minya (City Center),Minya,28.10917,30.75028,
67,Mallawi,Minya,27.73306,30.84167,
68,Maghagha,Minya,28.65,30.85,
69,Samalut,Minya,28.3,30.71667,
70,Asyut (City Center),Asyut,27.18278,31.18278,
71,Dairut,Asyut,27.55,30.81667,
72,Abnoub,Asyut,27.26944,31.15111,
73,Manfalut,Asyut,27.31667,31.26667,
74,Sohag (City Center),Sohag,26.55694,31.69472,
75,Girga,Sohag,26.33833,31.89167,
76,Akhmim,Sohag,26.56222,31.745,
77,Tahta,Sohag,26.76667,31.5,
78,Al Monshah,Sohag,26.15,32.01667,
79,Qena (City Center),Qena,26.16472,32.72667,
80,Nag Hammadi,Qena,26.05,32.23333,
81,Deshna,Qena,26.12389,32.47639,
82,Luxor (City Center),Luxor,25.69694,32.64222,
83,Armant,Luxor,25.61111,32.53,
84,Esna,Luxor,25.29333,32.55417,
85,Al Tod,Luxor,25.58333,32.53333,
86,Aswan (City Center),Aswan,24.08889,32.89972,
87,Kom Ombo,Aswan,24.46667,32.95,
88,Daraw,Aswan,24.38333,32.93333,
89,Edfu,Aswan,24.97806,32.875,
90,Al Nakhil,Aswan,24.56667,32.91667,
91,Al Sibaiya,Aswan,24.73333,32.91667,
92,Abu Simbel (near temple),Aswan,22.33694,31.62556,
93,Kalabsha,Aswan,23.61667,32.56667,
94,Birkat Ghaydan,Aswan,23.1,32.56667,
95,Kharga (City Center),New Valley,25.45,30.55,
96,Baris,New Valley,25.4,30.55,
97,Dakhla (Mut Center),New Valley,25.5,29.01667,
98,Farafra,New Valley,27.05,27.96667,
99,Hurghada (City Center),Red Sea,27.25778,33.81167,
100,Safaga,Red Sea,26.74917,33.93833,
101,Al Qusair,Red Sea,26.11667,34.28333,
102,Marsa Alam,Red Sea,25.06667,34.9,
103,Ras Banas,Red Sea,23.91667,35.46667,
104,Ras Ghareb,Red Sea,28.36667,33.08333,
105,Sharm El Sheikh (Center),South Sinai,27.91528,34.32972,
106,Dahab,South Sinai,28.5,34.51667,
107,Nuweiba,South Sinai,29.03333,34.66667,
108,Taba,South Sinai,29.5,34.9,
109,Abu Rudeis,South Sinai,28.9,33.18333,
110,Saint Catherine,South Sinai,28.55611,33.94944,
111,Sallum,Matrouh,31.56667,25.15,
112,Siwa Oasis (Town Center),Matrouh,29.2,25.51667,
113,El Farafer,Matrouh,29.05,25.51667,
114,Sallara (Sallara),Matrouh,31.33333,27.21667,
115,Gebel Elba (Protectorate Center),Red Sea,22.18333,36.36667,
116,Hala'ib (Town Center),Red Sea,22.21667,36.65,
117,Wadi Feiran,South Sinai,28.70667,33.64278,
118,East Uweinat,New Valley,22.2,28.71667,
119,Mount Catherine (Summit),South Sinai,28.51056,33.95556,
